client_ip,client_mac,tls_domain,dns_domain,server_ip,time_window
100.70.142.74,14:ca:56:03:b5:45,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
113.179.17.130,7c:7b:68:53:60:e9,p16-oec-general-sign-va.tiktokcdn.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.249.102.157,4c:12:e8:d7:e0:49,oec16-normal-alisg.tiktokv.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
192.168.1.2,4c:12:e8:e4:08:29,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.239.96.167,e4:af:40:9f:0a:ff,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.244.42.180,7c:7b:68:a4:e6:69,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.229.208.158,b8:29:03:04:a1:f9,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.247.120.93,d4:9a:a0:a2:12:61,lf-main-gecko-source.tiktokcdn.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
222.252.199.251,7c:7b:68:10:41:c1,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
123.26.213.128,b8:29:03:aa:30:b9,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.244.42.180,7c:7b:68:a4:e6:69,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.239.10.99,b8:29:03:f8:85:21,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
113.179.240.201,a0:65:18:7c:ec:33,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
100.70.133.186,4c:12:e8:e4:08:29,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
192.168.1.12,30:4f:75:2b:e2:81,_,_,113.171.10.104,2025-12-27 11:30:00+07:00
14.235.213.119,30:4f:75:82:48:31,p16-oec-va.ibyteimg.com,_,113.171.10.104,2025-12-27 11:30:00+07:00
