client_ip,client_mac,tls_domain,dns_domain,server_ip,time_window
100.70.84.172,b8:29:03:6a:a5:41,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
100.70.118.33,b8:29:03:02:84:19,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.244.91.188,30:4f:75:40:6d:b1,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.244.136.142,a0:65:18:7c:1f:97,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.229.209.205,7c:7b:68:46:55:19,_,_,111.91.32.34,2025-12-28 11:30:00+07:00
14.249.227.40,7c:7b:68:40:07:f9,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,_,111.91.32.34,2025-12-28 11:30:00+07:00
113.168.197.65,24:43:e2:f3:9c:89,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.235.142.11,4c:12:e8:6d:29:c1,_,vp-0502-d03-n03.cloudlinks.cn,111.91.32.34,2025-12-28 11:30:00+07:00
14.163.103.252,4c:12:e8:4d:3e:f9,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
113.168.208.240,24:43:e2:48:57:89,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
100.70.138.241,58:d3:12:15:bf:8f,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.235.64.243,7c:7b:68:18:11:a9,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.247.192.154,24:43:e2:d0:a8:81,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,_,111.91.32.34,2025-12-28 11:30:00+07:00
14.239.164.15,b8:29:03:2f:b8:81,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,_,111.91.32.34,2025-12-28 11:30:00+07:00
100.70.81.216,30:4f:75:81:ac:d1,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.228.220.195,7c:7b:68:1a:34:89,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
