client_ip,client_mac,tls_domain,dns_domain,server_ip,time_window
14.228.135.139,30:4f:75:38:7f:11,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.167.0.87,4c:12:e8:f6:20:e9,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
100.70.154.84,30:4f:75:81:b4:61,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.228.135.7,4c:12:e8:d3:e9:51,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.244.147.8,30:4f:75:40:c0:b1,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.249.103.231,14:ca:56:06:49:d5,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
113.175.148.92,a0:65:18:76:77:d2,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
113.189.186.236,7c:7b:68:a5:eb:29,_,vc-0502-d01-n05.cloudlinks.cn,111.91.32.34,2025-12-28 11:30:00+07:00
100.70.133.232,14:ca:56:05:7e:ef,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
123.26.214.76,7c:7b:68:c4:d0:41,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
100.70.126.172,b8:29:03:7d:d7:69,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
14.247.192.238,b8:29:03:50:b0:19,_,vp-0502-d03-n01.cloudlinks.cn,111.91.32.34,2025-12-28 11:30:00+07:00
113.177.45.2,b8:29:03:e0:61:f9,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.34,2025-12-28 11:30:00+07:00
