client_ip,client_mac,tls_domain,dns_domain,server_ip,time_window
14.163.102.99,b8:29:03:60:a8:21,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,_,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.84.172,b8:29:03:6a:a5:41,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
14.244.91.188,30:4f:75:40:6d:b1,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
192.168.1.12,4c:12:e8:64:cf:01,_,_,111.91.32.35,2025-12-28 11:30:00+07:00
192.168.1.2,30:4f:75:3e:ef:39,_,_,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.82.219,b8:29:03:5b:5d:01,_,vc-0502-d01-n01.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
113.189.207.69,d4:9a:a0:9f:cc:a1,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
123.27.160.104,7c:7b:68:46:9c:89,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
192.168.1.4,30:4f:75:43:ba:19,_,_,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.82.112,4c:12:e8:e7:51:d1,_,vc-0502-d07-n03.cloudlinks.cn,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.89.0,b8:29:03:37:9f:19,_,vp-0502-d03-n02.cloudlinks.cn,111.91.32.35,2025-12-28 11:30:00+07:00
222.252.191.236,b8:29:03:d0:42:39,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
14.244.91.188,30:4f:75:40:6d:b1,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
14.255.140.159,b8:29:03:5b:b0:a1,_,vc-0502-d01-n02.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.133.127,4c:12:e8:64:cf:01,_,_,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.128.206,b8:29:03:de:a0:11,_,vc-0502-d01-n01.cloudlinks.cn,111.91.32.35,2025-12-28 11:30:00+07:00
14.244.134.109,b8:29:03:04:3b:d9,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.138.241,58:d3:12:15:bf:8f,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.140.51,4c:12:e8:67:61:e9,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
113.176.42.114,7c:7b:68:33:d2:d9,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
14.247.192.152,7c:7b:68:d1:90:59,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.144.87,7c:7b:68:0b:ac:f1,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
14.249.101.220,b8:29:03:06:66:b9,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.120.205,b8:29:03:3f:cc:01,_,vp-0502-d03-n03.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
14.229.53.115,b8:29:03:5c:61:61,_,imou-sg-hw-online-paas-private-iot-picture.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.91.66,30:4f:75:3e:ef:39,_,vc-0502-d01-n03.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
14.229.53.106,4c:12:e8:67:41:b1,_,vc-0502-d01-n03.cloudlinks.cn,111.91.32.35,2025-12-28 11:30:00+07:00
113.189.206.239,30:4f:75:43:ba:19,_,vp-0502-d03-n01.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.142.61,4c:12:e8:d6:65:09,_,vc-0502-d01-n04.cloudlinks.cn,111.91.32.35,2025-12-28 11:30:00+07:00
113.189.206.239,30:4f:75:43:ba:19,_,vc-0502-d01-n03.obs.ap-southeast-3.myhuaweicloud.com,111.91.32.35,2025-12-28 11:30:00+07:00
100.70.99.20,7c:7b:68:d0:91:e1,_,_,111.91.32.35,2025-12-28 11:30:00+07:00
