client_ip,client_mac,tls_domain,dns_domain,server_ip,time_window
14.170.122.52,b8:29:03:2f:b8:81,pw.mediav.com,_,101.91.111.172,2025-12-31 09:30:00+07:00
113.160.210.52,30:4f:75:80:b8:39,_,pw.mediav.com,101.91.111.172,2025-12-31 09:30:00+07:00
14.170.96.156,4c:12:e8:b6:d1:d9,pw.mediav.com,_,101.91.111.172,2025-12-31 09:30:00+07:00
113.179.16.36,b8:29:03:f9:09:99,pw.mediav.com,_,101.91.111.172,2025-12-31 09:30:00+07:00
203.210.193.118,30:4f:75:2e:8f:71,pw.mediav.com,_,101.91.111.172,2025-12-31 09:30:00+07:00
14.241.51.117,00:1d:aa:60:c9:a9,_,_,101.91.111.172,2025-12-31 09:30:00+07:00
113.160.210.52,30:4f:75:80:b8:39,pw.mediav.com,pw.mediav.com,101.91.111.172,2025-12-31 09:30:00+07:00
113.160.211.136,7c:7b:68:45:8f:31,pw.mediav.com,pw.mediav.com,101.91.111.172,2025-12-31 09:30:00+07:00
100.70.90.172,7c:7b:68:c4:fe:09,pw.mediav.com,_,101.91.111.172,2025-12-31 09:30:00+07:00
14.228.221.118,a0:65:18:7d:0c:43,pw.mediav.com,_,101.91.111.172,2025-12-31 09:30:00+07:00
113.175.162.255,4c:12:e8:b9:d1:71,pw.mediav.com,_,101.91.111.172,2025-12-31 09:30:00+07:00
14.170.91.150,7c:7b:68:53:b9:11,pw.mediav.com,_,101.91.111.172,2025-12-31 09:30:00+07:00
203.210.193.118,30:4f:75:2e:8f:71,pw.mediav.com,pw.mediav.com,101.91.111.172,2025-12-31 09:30:00+07:00
